fn_22_0 = .text:0x00000000; // type:function size:0x5C
fn_22_5C = .text:0x0000005C; // type:function size:0x4
fn_22_60 = .text:0x00000060; // type:function size:0x28
fn_22_88 = .text:0x00000088; // type:function size:0x94
fn_22_11C = .text:0x0000011C; // type:function size:0x5C
fn_22_178 = .text:0x00000178; // type:function size:0x4
fn_22_17C = .text:0x0000017C; // type:function size:0x28
fn_22_1A4 = .text:0x000001A4; // type:function size:0x1A0
fn_22_344 = .text:0x00000344; // type:function size:0x324
fn_22_668 = .text:0x00000668; // type:function size:0x38
fn_22_6A0 = .text:0x000006A0; // type:function size:0x1C4
fn_22_864 = .text:0x00000864; // type:function size:0xCA4
fabsf = .text:0x00001508; // type:function size:0x8 scope:weak
fn_22_1510 = .text:0x00001510; // type:function size:0xBC
fn_22_15CC = .text:0x000015CC; // type:function size:0x324
fn_22_18F0 = .text:0x000018F0; // type:function size:0x38
fn_22_1928 = .text:0x00001928; // type:function size:0x1C4
fn_22_1AEC = .text:0x00001AEC; // type:function size:0xC94
fn_22_2780 = .text:0x00002780; // type:function size:0xBC
fn_22_283C = .text:0x0000283C; // type:function size:0x88
fn_22_28C4 = .text:0x000028C4; // type:function size:0x4
fn_22_28C8 = .text:0x000028C8; // type:function size:0x1C0
fn_22_2A88 = .text:0x00002A88; // type:function size:0x1A0
fn_22_2C28 = .text:0x00002C28; // type:function size:0x24
fn_22_2C4C = .text:0x00002C4C; // type:function size:0x4C
fn_22_2C98 = .text:0x00002C98; // type:function size:0x118
fn_22_2DB0 = .text:0x00002DB0; // type:function size:0x44
fn_22_2DF4 = .text:0x00002DF4; // type:function size:0x9C
fn_22_2E90 = .text:0x00002E90; // type:function size:0xB4
fn_22_2F44 = .text:0x00002F44; // type:function size:0x2C
fn_22_2F70 = .text:0x00002F70; // type:function size:0x220
fn_22_3190 = .text:0x00003190; // type:function size:0x38
fn_22_31C8 = .text:0x000031C8; // type:function size:0x108
fn_22_32D0 = .text:0x000032D0; // type:function size:0x40
fn_22_3310 = .text:0x00003310; // type:function size:0x16C
fn_22_347C = .text:0x0000347C; // type:function size:0x50
fn_22_34CC = .text:0x000034CC; // type:function size:0x74
fn_22_3540 = .text:0x00003540; // type:function size:0x4
fn_22_3544 = .text:0x00003544; // type:function size:0x170
fn_22_36B4 = .text:0x000036B4; // type:function size:0x4
fn_22_36B8 = .text:0x000036B8; // type:function size:0x1C8
fn_22_3880 = .text:0x00003880; // type:function size:0x50
fn_22_38D0 = .text:0x000038D0; // type:function size:0xA8
fn_22_3978 = .text:0x00003978; // type:function size:0x684
fn_22_3FFC = .text:0x00003FFC; // type:function size:0x234
fn_22_4230 = .text:0x00004230; // type:function size:0x20
fn_22_4250 = .text:0x00004250; // type:function size:0x244
fn_22_4494 = .text:0x00004494; // type:function size:0x50
fn_22_44E4 = .text:0x000044E4; // type:function size:0x3D8
fn_22_48BC = .text:0x000048BC; // type:function size:0xE4
