fn_5_0 = .text:0x00000000; // type:function size:0xA4
fn_5_A4 = .text:0x000000A4; // type:function size:0x34
fn_5_D8 = .text:0x000000D8; // type:function size:0x2D0 align:4 data:float
fn_5_3A8 = .text:0x000003A8; // type:function size:0x68
fn_5_410 = .text:0x00000410; // type:function size:0xB0
fn_5_4C0 = .text:0x000004C0; // type:function size:0x38
fn_5_4F8 = .text:0x000004F8; // type:function size:0x208
fn_5_700 = .text:0x00000700; // type:function size:0x2F0
fn_5_9F0 = .text:0x000009F0; // type:function size:0xF0
fn_5_AE0 = .text:0x00000AE0; // type:function size:0x2AC
fn_5_D8C = .text:0x00000D8C; // type:function size:0x12C
fn_5_EB8 = .text:0x00000EB8; // type:function size:0x14
fn_5_ECC = .text:0x00000ECC; // type:function size:0xC0
fn_5_F8C = .text:0x00000F8C; // type:function size:0x24C
fn_5_11D8 = .text:0x000011D8; // type:function size:0x50
fn_5_1228 = .text:0x00001228; // type:function size:0x9C
fn_5_12C4 = .text:0x000012C4; // type:function size:0x1E4
fn_5_14A8 = .text:0x000014A8; // type:function size:0x4
fn_5_14AC = .text:0x000014AC; // type:function size:0x354
fn_5_1800 = .text:0x00001800; // type:function size:0x4
fn_5_1804 = .text:0x00001804; // type:function size:0x5C
fn_5_1860 = .text:0x00001860; // type:function size:0x14
fn_5_1874 = .text:0x00001874; // type:function size:0x14
fn_5_1888 = .text:0x00001888; // type:function size:0x70
fn_5_18F8 = .text:0x000018F8; // type:function size:0xDC
fn_5_19D4 = .text:0x000019D4; // type:function size:0x5C
fn_5_1A30 = .text:0x00001A30; // type:function size:0xF4
fn_5_1B24 = .text:0x00001B24; // type:function size:0xC8
fn_5_1BEC = .text:0x00001BEC; // type:function size:0x5C
fn_5_1C48 = .text:0x00001C48; // type:function size:0x18C
fn_5_1DD4 = .text:0x00001DD4; // type:function size:0x4C4
fn_5_2298 = .text:0x00002298; // type:function size:0xAC
fn_5_2344 = .text:0x00002344; // type:function size:0x4E0
fn_5_2824 = .text:0x00002824; // type:function size:0xA0
fn_5_28C4 = .text:0x000028C4; // type:function size:0x100
fn_5_29C4 = .text:0x000029C4; // type:function size:0x1184
fn_5_3B48 = .text:0x00003B48; // type:function size:0x17C
fn_5_3CC4 = .text:0x00003CC4; // type:function size:0x414
fn_5_40D8 = .text:0x000040D8; // type:function size:0x4C
fn_5_4124 = .text:0x00004124; // type:function size:0x38
fn_5_415C = .text:0x0000415C; // type:function size:0x4C
